,0
2013-08-19 00:00:00,14043.40019
2013-08-20 00:00:00,14045.90019
2013-08-21 00:00:00,14048.2
2013-08-22 00:00:00,14057.9998
2013-08-23 00:00:00,14067.10039
2013-08-24 00:00:00,14079.10039
2013-08-25 00:00:00,14090.79961
2013-08-26 00:00:00,14095.40019
2013-08-27 00:00:00,14101.4998
2013-08-28 00:00:00,14109.90019
2013-08-29 00:00:00,14114.4998
2013-08-30 00:00:00,14122.2
2013-08-31 00:00:00,14131.4998
2013-09-01 00:00:00,14135.4968
2013-09-02 00:00:00,14142.40019
2013-09-03 00:00:00,14148.90019
2013-09-04 00:00:00,14155.10039
2013-09-05 00:00:00,14164.4998
2013-09-06 00:00:00,14178.90019
2013-09-07 00:00:00,14186.9998
2013-09-08 00:00:00,14190.10039
2013-09-09 00:00:00,14197.59672
2013-09-10 00:00:00,14206.9998
2013-09-11 00:00:00,14217.7
2013-09-12 00:00:00,14222.9998
2013-09-13 00:00:00,14227.29961
2013-09-14 00:00:00,14235.59916
2013-09-15 00:00:00,14243.9998
2013-09-16 00:00:00,14258.60039
2013-09-17 00:00:00,14269.7
2013-09-18 00:00:00,14279.2
2013-09-19 00:00:00,14282.40019
2013-09-20 00:00:00,14287.29961
2013-09-21 00:00:00,14287.29961
2013-09-22 00:00:00,14288.79961
2013-09-23 00:00:00,14292.90019
2013-09-24 00:00:00,14300.79961
2013-09-25 00:00:00,14311.79961
2013-09-26 00:00:00,14322.29961
2013-09-27 00:00:00,14325.90019
2013-09-28 00:00:00,14332.40019
2013-09-29 00:00:00,14341.59838
2013-09-30 00:00:00,14350.19467
2013-10-01 00:00:00,14356.10039
2013-10-02 00:00:00,14360.4998
2013-10-03 00:00:00,14365.2
2013-10-04 00:00:00,14374.79961
2013-10-05 00:00:00,14382.4998
2013-10-06 00:00:00,14384.10039
2013-10-07 00:00:00,14385.7
2013-10-08 00:00:00,14392.4998
2013-10-09 00:00:00,14399.4998
2013-10-10 00:00:00,14412.9998
2013-10-11 00:00:00,14421.79961
2013-10-12 00:00:00,14424.60039
2013-10-13 00:00:00,14431.2
2013-10-14 00:00:00,14439.29961
2013-10-15 00:00:00,14447.79961
2013-10-16 00:00:00,14455.90019
2013-10-17 00:00:00,14462.40019
2013-10-18 00:00:00,14466.7
2013-10-19 00:00:00,14469.60039
2013-10-20 00:00:00,14481.29961
2013-10-21 00:00:00,14488.40019
2013-10-22 00:00:00,14493.79961
2013-10-23 00:00:00,14505.9998
2013-10-24 00:00:00,14511.9998
2013-10-25 00:00:00,14511.9998
2013-10-26 00:00:00,14521.4998
2013-10-27 00:00:00,14530.90019
2013-10-28 00:00:00,14543.4998
2013-10-29 00:00:00,14553.7
2013-10-30 00:00:00,14553.7
2013-10-31 00:00:00,14553.7
2013-11-01 00:00:00,14561.10039
2013-11-02 00:00:00,14572.99914
2013-11-03 00:00:00,14587.2
2013-11-04 00:00:00,14596.7
2013-11-05 00:00:00,14608.10039
2013-11-06 00:00:00,14618.4998
2013-11-07 00:00:00,14624.29961
2013-11-08 00:00:00,14629.2
2013-11-09 00:00:00,14642.9998
2013-11-10 00:00:00,14656.40019
2013-11-11 00:00:00,14661.79961
2013-11-12 00:00:00,14674.10039
2013-11-13 00:00:00,14693.2
